Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-06-27,2016,6,27,Monday,26,2016-26,61.67,61.81,60.98,61.18,9909799.0,54.56,-0.01698840494022935,56.712857142857146,56.900600000000004
2016-06-28,2016,6,28,Tuesday,26,2016-26,61.77,62.38,61.63,62.32,8871705.0,55.58,0.01872229908859513,56.59142857142857,56.84
2016-06-29,2016,6,29,Wednesday,26,2016-26,62.92,63.37,62.59,63.23,7527570.0,56.39,0.01454092208180846,56.51714285714286,56.797
2016-06-30,2016,6,30,Thursday,26,2016-26,63.48,64.55,63.29,64.54,9276105.0,57.55,0.020702775957183173,56.53857142857142,56.7712
2016-07-01,2016,7,1,Friday,26,2016-26,64.49,65.57,64.41,64.65,10453872.0,57.66,0.001755292488875293,56.6,56.7488
2016-07-05,2016,7,5,Tuesday,27,2016-27,64.25,64.41,63.06,63.32,6850338.0,56.47,-0.020539371550755248,56.57714285714286,56.69959999999999
2016-07-06,2016,7,6,Wednesday,27,2016-27,63.28,63.87,62.5,63.8,8306498.0,56.9,0.00755324815340086,56.61071428571428,56.6646
2016-07-07,2016,7,7,Thursday,27,2016-27,63.9,64.28,63.79,64.17,4848992.0,57.23,0.005819429340720772,56.644999999999996,56.64059999999999
2016-07-08,2016,7,8,Friday,27,2016-27,64.76,65.29,64.55,65.24,5566108.0,58.18,0.016573859037410488,56.74357142857143,56.623400000000004
2016-07-11,2016,7,11,Monday,28,2016-28,65.24,65.76,65.2,65.42,5270872.0,58.35,0.002894073323124857,56.83428571428571,56.6282
2016-07-12,2016,7,12,Tuesday,28,2016-28,65.59,66.12,65.51,65.76,5945085.0,58.65,0.005194129307954931,56.95214285714285,56.63740000000001
2016-07-13,2016,7,13,Wednesday,28,2016-28,66.12,66.21,65.82,66.14,4687709.0,58.98,0.005645877394661936,57.10214285714285,56.653200000000005
2016-07-14,2016,7,14,Thursday,28,2016-28,66.7,66.7,66.04,66.17,5255459.0,59.01,0.00047590078031434224,57.214999999999996,56.6946
2016-07-15,2016,7,15,Friday,28,2016-28,66.3,66.49,66.0,66.39,4507834.0,59.21,0.003423911877017183,57.480000000000004,56.7562
2016-07-18,2016,7,18,Monday,29,2016-29,66.38,66.66,66.0,66.39,3472442.0,59.2,-9.477160333515311e-05,57.81142857142857,56.821999999999996
2016-07-19,2016,7,19,Tuesday,29,2016-29,66.07,66.67,66.01,66.47,5551807.0,59.28,0.001232276481476724,58.07571428571429,56.88
2016-07-20,2016,7,20,Wednesday,29,2016-29,66.51,66.88,66.43,66.73,4746979.0,59.51,0.003976464396675761,58.29857142857143,56.95419999999999
2016-07-21,2016,7,21,Thursday,29,2016-29,66.94,67.17,66.46,66.61,6052342.0,59.41,-0.0017917473347173196,58.43142857142857,57.0032
2016-07-22,2016,7,22,Friday,29,2016-29,65.93,66.21,65.76,66.16,5583587.0,59.0,-0.006801956640520412,58.527142857142856,57.050200000000004
2016-07-25,2016,7,25,Monday,30,2016-30,66.11,66.21,65.71,65.86,5500006.0,58.73,-0.0045657580623429395,58.68857142857143,57.0934
2016-07-26,2016,7,26,Tuesday,30,2016-30,67.36,67.94,67.02,67.9,7014482.0,60.55,0.030960467374573364,58.949285714285715,57.18639999999999
2016-07-27,2016,7,27,Wednesday,30,2016-30,68.01,68.28,67.64,67.77,6348691.0,60.44,-0.0018537587518044907,59.17857142857143,57.2598
2016-07-28,2016,7,28,Thursday,30,2016-30,67.77,67.96,67.4,67.7,4459846.0,60.38,-0.0010214766346056114,59.33571428571429,57.3516
2016-07-29,2016,7,29,Friday,30,2016-30,67.65,68.02,67.46,67.75,5136601.0,60.42,0.0006507009993841351,59.48357142857143,57.445600000000006
2016-08-01,2016,8,1,Monday,31,2016-31,67.63,67.75,67.02,67.3,4864882.0,60.02,-0.006595720566781704,59.58142857142857,57.540200000000006
2016-08-02,2016,8,2,Tuesday,31,2016-31,67.02,67.17,66.64,66.88,3788335.0,59.64,-0.006264959036464068,59.62857142857143,57.620599999999996
2016-08-03,2016,8,3,Wednesday,31,2016-31,66.88,67.04,66.72,66.89,4743801.0,59.65,0.00018810585146722403,59.674285714285716,57.7034
2016-08-04,2016,8,4,Thursday,31,2016-31,67.05,67.38,66.91,66.94,2960148.0,59.69,0.0006586623207742726,59.708571428571425,57.7758
2016-08-05,2016,8,5,Friday,31,2016-31,67.24,67.8,67.14,67.8,4252323.0,60.47,0.012974775459314358,59.79928571428571,57.8592
2016-08-08,2016,8,8,Monday,32,2016-32,67.8,68.18,67.65,67.84,4800210.0,60.5,0.00046400609169650053,59.88642857142857,57.94219999999999
2016-08-09,2016,8,9,Tuesday,32,2016-32,67.97,68.22,67.89,68.18,3516616.0,60.8,0.005102330367930286,59.97857142857142,58.0272
2016-08-10,2016,8,10,Wednesday,32,2016-32,68.26,68.28,67.83,68.04,2635674.0,60.68,-0.0020305715005406455,60.06928571428572,58.111799999999995
2016-08-11,2016,8,11,Thursday,32,2016-32,68.28,68.78,68.26,68.71,3186263.0,61.28,0.009804118177236365,60.232142857142854,58.211000000000006
2016-08-12,2016,8,12,Friday,32,2016-32,68.61,68.71,68.31,68.51,2873548.0,61.1,-0.002839392507338112,60.401428571428575,58.3016
2016-08-15,2016,8,15,Monday,33,2016-33,68.7,69.12,68.7,69.03,3248711.0,61.56,0.007531777760269032,60.473571428571425,58.40559999999999
2016-08-16,2016,8,16,Tuesday,33,2016-33,68.73,68.99,68.6,68.7,3835369.0,61.26,-0.004831709657712291,60.53214285714285,58.493
2016-08-17,2016,8,17,Wednesday,33,2016-33,68.31,68.6,68.09,68.56,3508512.0,61.51,0.0040554797045753155,60.61285714285714,58.584399999999995
2016-08-18,2016,8,18,Thursday,33,2016-33,68.63,68.86,68.5,68.8,3114122.0,61.73,0.0035798781157112547,60.70642857142857,58.6734
2016-08-19,2016,8,19,Friday,33,2016-33,68.6,68.86,68.53,68.68,3795803.0,61.63,-0.0017377649532319683,60.82142857142857,58.7574
2016-08-22,2016,8,22,Monday,34,2016-34,68.29,68.59,68.06,68.28,3893845.0,61.26,-0.005864349112774003,60.93714285714285,58.837599999999995
2016-08-23,2016,8,23,Tuesday,34,2016-34,68.6,68.82,67.97,67.97,4868855.0,60.98,-0.004608282305407663,61.03214285714285,58.9212
2016-08-24,2016,8,24,Wednesday,34,2016-34,67.98,68.17,67.72,67.94,3884628.0,60.96,-0.000370199201951138,61.12285714285714,59.0046
2016-08-25,2016,8,25,Thursday,34,2016-34,67.81,68.06,67.6,67.79,2850030.0,60.82,-0.002223144203999161,61.14785714285714,59.0924
2016-08-26,2016,8,26,Friday,34,2016-34,67.93,68.15,67.3,67.53,3990138.0,60.59,-0.0038059413928677177,61.15428571428571,59.169200000000004
2016-08-29,2016,8,29,Monday,35,2016-35,67.7,68.06,67.61,67.95,2849236.0,60.96,0.00615039417370844,61.16571428571429,59.252399999999994
2016-08-30,2016,8,30,Tuesday,35,2016-35,67.89,68.04,67.46,67.56,3798981.0,60.61,-0.005742621242292412,61.160714285714285,59.323
2016-08-31,2016,8,31,Wednesday,35,2016-35,67.33,67.46,66.93,66.98,5321879.0,60.1,-0.008570038998661822,61.07642857142857,59.385
2016-09-01,2016,9,1,Thursday,35,2016-35,67.17,67.32,66.52,67.16,5134854.0,60.26,0.0027249009750152098,61.01642857142857,59.452600000000004
2016-09-02,2016,9,2,Friday,35,2016-35,67.46,67.79,67.01,67.29,4872986.0,60.38,0.001967774308871739,60.932142857142864,59.5116
2016-09-06,2016,9,6,Tuesday,36,2016-36,67.34,67.65,66.38,66.71,5832742.0,59.86,-0.008603888483233457,60.83214285714286,59.59879999999999
2016-09-07,2016,9,7,Wednesday,36,2016-36,66.53,66.89,66.26,66.61,4010954.0,59.77,-0.0015092312798474783,60.70785714285715,59.702999999999996
2016-09-08,2016,9,8,Thursday,36,2016-36,66.46,66.81,66.41,66.55,4465408.0,59.71,-0.0009446793572784884,60.563571428571436,59.785599999999995
2016-09-09,2016,9,9,Friday,36,2016-36,66.08,66.14,64.61,64.62,6766280.0,57.98,-0.02903075963513324,60.30285714285714,59.8174
2016-09-12,2016,9,12,Monday,37,2016-37,64.32,65.67,64.12,65.47,6120510.0,58.74,0.013147782956932863,60.12285714285714,59.8412
2016-09-13,2016,9,13,Tuesday,37,2016-37,64.86,65.04,64.22,64.39,5630304.0,57.77,-0.016437660662412146,59.89357142857143,59.8434
2016-09-14,2016,9,14,Wednesday,37,2016-37,64.31,64.73,63.84,63.98,6502506.0,57.4,-0.006450340918859987,59.63928571428572,59.86200000000001
2016-09-15,2016,9,15,Thursday,37,2016-37,63.84,64.76,63.73,64.64,4989301.0,57.99,0.010328456040098022,59.43714285714287,59.8838
2016-09-16,2016,9,16,Friday,37,2016-37,64.55,64.55,62.84,63.0,12273754.0,56.52,-0.02541128142576332,59.14642857142858,59.8696
2016-09-19,2016,9,19,Monday,38,2016-38,63.25,63.68,63.08,63.21,5269283.0,56.71,0.0033965853943318525,58.84285714285714,59.840199999999996
2016-09-20,2016,9,20,Tuesday,38,2016-38,63.42,63.88,63.08,63.08,4941949.0,56.6,-0.001991394212042197,58.55642857142857,59.80519999999999
